"region","term","extraction_date","count"
"DE-NW","_m_0gt5b",2022-04-11,146
"DE-NW","_m_0gt5b",2022-04-12,146
"DE-NW","_m_0gt5b",2022-04-13,146
"DE-NW","_m_0gt5b",2022-04-14,146
"DE-NW","_m_0gt5b",2022-04-19,146
"DE-NW","_m_0gt5b",2022-04-20,146
"DE-NW","_m_0gt5b",2022-04-21,146
"DE-NW","_m_0gt5b",2022-04-22,146
"DE-NW","_m_0gt5b",2022-04-26,146
"DE-NW","_m_0gt5b",2022-04-27,146
"DE-NW","_m_0gt5b",2022-04-28,146
"DE-NW","_m_0gt5b",2022-04-29,146
"DE-NW","_m_0gt5b",2022-04-30,146
"DE-NW","_m_0gt5b",2022-05-01,146
"DE-NW","_m_0gt5b",2022-05-05,146
"DE-NW","_m_0gt5b",2022-05-06,146
"DE-NW","_m_0gt5b",2022-05-07,146
"DE-NW","_m_0gt5b",2022-05-08,146
"DE-NW","_m_0gt5b",2022-05-09,146
"DE-NW","_m_0gt5b",2022-05-10,146
"DE-NW","_m_0gt5b",2022-05-11,146
"DE-NW","_m_0gt5b",2022-05-12,146
"DE-NW","_m_0gt5b",2022-05-14,146
"DE-NW","_m_0gt5b",2022-05-15,146
"DE-NW","_m_0gt5b",2022-05-16,146
"DE-NW","_m_0gt5b",2022-05-17,146
"DE-NW","_m_0gt5b",2022-05-18,146
"DE-NW","_m_0gt5b",2022-05-19,146
"DE-NW","_m_0gt5b",2022-05-20,146
"DE-NW","_m_0gt5b",2022-05-21,146
"DE-NW","_m_0gt5b",2022-05-22,146
"DE-NW","_m_0gt5b",2022-05-23,146
"DE-NW","_m_0gt5b",2022-06-06,146
"DE-NW","_m_0gt5b",2022-06-07,146
"DE-NW","_m_0gt5b",2022-06-08,146
"DE-NW","_m_0gt5b",2022-06-09,146
"DE-NW","_m_0gt5b",2022-06-10,146
"DE-NW","_m_0gt5b",2022-06-11,146
"DE-NW","_m_0gt5b",2022-06-12,146
"DE-NW","_m_0gt5b",2022-06-13,146
"DE-NW","_m_0gt5b",2022-06-14,146
"DE-NW","_m_0gt5b",2022-06-15,146
"DE-NW","_m_0gt5b",2022-06-16,146
"DE-NW","_m_0gt5b",2022-06-17,146
"DE-NW","_m_0gt5b",2022-06-18,146
"DE-NW","_m_0gt5b",2022-06-19,146
"DE-NW","_m_0gt5b",2022-06-22,146
"DE-NW","_m_0gt5b",2022-06-23,146
"DE-NW","_m_0gt5b",2022-06-24,146
"DE-NW","_m_0gt5b",2022-06-25,146
"DE-NW","_m_0gt5b",2022-06-26,146
"DE-NW","_m_0gt5b",2022-06-27,146
"DE-NW","_m_0gt5b",2022-06-28,146
"DE-NW","_m_0gt5b",2022-06-29,146
"DE-NW","_m_0gt5b",2022-07-01,146
"DE-NW","_m_0gt5b",2022-07-02,146
"DE-NW","_m_0gt5b",2022-07-03,146
"DE-NW","_m_0gt5b",2022-07-04,146
"DE-NW","_m_0gt5b",2022-07-05,146
"DE-NW","_m_0gt5b",2022-07-06,146
"DE-NW","_m_0gt5b",2022-07-07,146
"DE-NW","_m_0gt5b",2022-07-08,146
"DE-NW","_m_0gt5b",2022-07-11,146
"DE-NW","_m_0gt5b",2022-07-12,146
"DE-NW","_m_0gt5b",2022-07-13,146
"DE-NW","_m_0gt5b",2022-07-16,146
"DE-NW","_m_0gt5b",2022-07-17,146
"DE-NW","_m_0gt5b",2022-07-18,146
"DE-NW","_m_0gt5b",2022-07-19,146
"DE-NW","_m_0gt5b",2022-07-20,146
"DE-NW","_m_0gt5b",2022-07-22,146
"DE-NW","_m_0gt5b",2022-07-23,146
"DE-NW","_m_0gt5b",2022-07-24,146
"DE-NW","_m_0gt5b",2022-07-25,146
"DE-NW","_m_0gt5b",2022-07-26,146
"DE-NW","_m_0gt5b",2022-07-27,146
"DE-NW","_m_0gt5b",2022-07-28,146
"DE-NW","_m_0gt5b",2022-07-29,146
"DE-NW","_m_0gt5b",2022-07-30,146
"DE-NW","_m_0gt5b",2022-07-31,146
"DE-NW","_m_0gt5b",2022-08-01,146
"DE-NW","_m_0gt5b",2022-08-02,146
"DE-NW","_m_0gt5b",2022-08-03,146
"DE-NW","_m_0gt5b",2022-08-04,146
"DE-NW","meth",2021-03-26,146
"DE-NW","meth",2021-03-27,146
"DE-NW","meth",2021-03-28,146
"DE-NW","meth",2021-03-29,146
"DE-NW","meth",2021-03-30,146
"DE-NW","meth",2021-03-31,146
"DE-NW","meth",2021-05-26,146
"DE-NW","meth",2021-05-27,146
"DE-NW","meth",2021-05-29,146
"DE-NW","meth",2021-05-31,146
"DE-NW","meth",2021-06-01,146
"DE-NW","meth",2021-06-02,146
"DE-NW","meth",2021-06-03,146
"DE-NW","meth",2021-06-04,146
"DE-NW","meth",2021-06-05,146
"DE-NW","meth",2021-06-06,146
"DE-NW","meth",2021-06-07,146
"DE-NW","meth",2021-06-08,146
"DE-NW","meth",2021-06-09,146
"DE-NW","meth",2021-06-10,146
"DE-NW","meth",2021-06-11,146
"DE-NW","meth",2021-06-16,146
"DE-NW","meth",2021-06-17,146
"DE-NW","meth",2021-06-19,146
"DE-NW","meth",2021-06-20,146
"DE-NW","meth",2021-06-21,146
"DE-NW","meth",2022-03-14,146
"DE-NW","meth",2022-03-15,146
"DE-NW","meth",2022-03-16,146
"DE-NW","meth",2022-03-17,146
"DE-NW","meth",2022-03-18,146
"DE-NW","meth",2022-03-19,146
"DE-NW","meth",2022-03-20,146
"DE-NW","meth",2022-03-21,146
"DE-NW","meth",2022-03-22,146
"DE-NW","meth",2022-03-23,146
"DE-NW","meth",2022-03-24,146
"DE-NW","meth",2022-03-25,146
"DE-NW","meth",2022-03-26,146
"DE-NW","meth",2022-03-28,146
"DE-NW","meth",2022-03-29,146
"DE-NW","meth",2022-03-30,146
"DE-NW","meth",2022-03-31,146
"DE-NW","meth",2022-04-01,146
"DE-NW","meth",2022-04-02,146
"DE-NW","meth",2022-04-03,146
"DE-NW","meth",2022-04-04,146
"DE-NW","meth",2022-04-05,146
"DE-NW","meth",2022-04-06,146
"DE-NW","meth",2022-04-07,146
"DE-NW","meth",2022-04-08,146
"DE-NW","meth",2022-04-09,146
"DE-NW","meth",2022-04-10,146
"DE-NW","meth",2022-04-11,146
"DE-NW","meth",2022-04-12,146
"DE-NW","meth",2022-04-13,146
"DE-NW","meth",2022-04-14,146
"DE-NW","meth",2022-04-19,146
"DE-NW","meth",2022-04-20,146
"DE-NW","meth",2022-04-21,146
"DE-NW","meth",2022-04-22,146
"DE-NW","meth",2022-04-26,146
"DE-NW","meth",2022-04-27,146
"DE-NW","meth",2022-04-28,146
"DE-NW","meth",2022-04-29,146
"DE-NW","meth",2022-04-30,146
"DE-NW","meth",2022-05-01,146
"DE-NW","meth",2022-05-05,146
"DE-NW","meth",2022-05-06,146
"DE-NW","meth",2022-05-07,146
"DE-NW","meth",2022-05-08,146
"DE-NW","meth",2022-05-09,146
"DE-NW","meth",2022-05-10,146
"DE-NW","meth",2022-05-11,146
"DE-NW","meth",2022-05-12,146
"DE-NW","meth",2022-05-14,146
"DE-NW","meth",2022-05-15,146
"DE-NW","meth",2022-05-16,146
"DE-NW","meth",2022-05-17,146
"DE-NW","meth",2022-05-18,146
"DE-NW","meth",2022-05-19,146
"DE-NW","meth",2022-05-20,146
"DE-NW","meth",2022-05-21,146
"DE-NW","meth",2022-05-22,146
"DE-NW","meth",2022-05-23,146
"DE-NW","meth",2022-05-24,146
"DE-NW","meth",2022-06-06,146
"DE-NW","meth",2022-06-07,146
"DE-NW","meth",2022-06-08,146
"DE-NW","meth",2022-06-09,146
"DE-NW","meth",2022-06-10,146
"DE-NW","meth",2022-06-11,146
"DE-NW","meth",2022-06-12,146
"DE-NW","meth",2022-06-13,146
"DE-NW","meth",2022-06-14,146
"DE-NW","meth",2022-06-15,146
"DE-NW","meth",2022-06-16,146
"DE-NW","meth",2022-06-17,146
"DE-NW","meth",2022-06-18,146
"DE-NW","meth",2022-06-19,146
"DE-NW","meth",2022-06-22,146
"DE-NW","meth",2022-06-23,146
"DE-NW","meth",2022-06-24,146
"DE-NW","meth",2022-06-25,146
"DE-NW","meth",2022-06-26,146
"DE-NW","meth",2022-06-27,146
"DE-NW","meth",2022-06-28,146
"DE-NW","meth",2022-06-29,146
"DE-NW","meth",2022-07-01,146
"DE-NW","meth",2022-07-02,146
"DE-NW","meth",2022-07-03,146
"DE-NW","meth",2022-07-04,146
"DE-NW","meth",2022-07-05,146
"DE-NW","meth",2022-07-06,146
"DE-NW","meth",2022-07-07,146
"DE-NW","meth",2022-07-08,146
"DE-NW","meth",2022-07-11,146
"DE-NW","meth",2022-07-12,146
"DE-NW","meth",2022-07-13,146
"DE-NW","meth",2022-07-16,146
"DE-NW","meth",2022-07-17,146
"DE-NW","meth",2022-07-18,146
"DE-NW","meth",2022-07-19,146
"DE-NW","meth",2022-07-20,146
"DE-NW","meth",2022-07-22,146
"DE-NW","meth",2022-07-23,146
"DE-NW","meth",2022-07-24,146
"DE-NW","meth",2022-07-25,146
"DE-NW","meth",2022-07-26,146
"DE-NW","meth",2022-07-27,146
"DE-RP","_m_0gt5b",2021-05-26,146
"DE-RP","_m_0gt5b",2021-05-27,146
"DE-RP","_m_0gt5b",2021-05-29,146
"DE-RP","_m_0gt5b",2021-05-31,146
"DE-RP","_m_0gt5b",2021-06-01,146
"DE-RP","_m_0gt5b",2021-06-02,146
"DE-RP","_m_0gt5b",2021-06-03,146
"DE-RP","_m_0gt5b",2021-06-04,146
"DE-RP","_m_0gt5b",2021-06-05,146
"DE-RP","_m_0gt5b",2021-06-06,146
"DE-RP","_m_0gt5b",2021-06-07,146
"DE-RP","_m_0gt5b",2021-06-08,146
"DE-RP","_m_0gt5b",2021-06-09,146
"DE-RP","_m_0gt5b",2021-06-10,146
"DE-RP","_m_0gt5b",2021-06-11,146
"DE-RP","_m_0gt5b",2021-06-16,146
"DE-RP","_m_0gt5b",2021-06-17,146
"DE-RP","_m_0gt5b",2021-06-19,146
"DE-RP","_m_0gt5b",2021-06-20,146
"DE-RP","_m_0gt5b",2021-06-21,146
"DE-RP","_m_0gt5b",2022-03-14,146
"DE-RP","_m_0gt5b",2022-03-15,146
"DE-RP","_m_0gt5b",2022-03-16,146
"DE-RP","_m_0gt5b",2022-03-17,146
"DE-RP","_m_0gt5b",2022-03-18,146
"DE-RP","_m_0gt5b",2022-03-19,146
"DE-RP","_m_0gt5b",2022-03-20,146
"DE-RP","_m_0gt5b",2022-03-22,146
"DE-RP","_m_0gt5b",2022-03-23,146
"DE-RP","_m_0gt5b",2022-03-24,146
"DE-RP","_m_0gt5b",2022-03-25,146
"DE-RP","_m_0gt5b",2022-03-26,146
"DE-RP","_m_0gt5b",2022-03-28,146
"DE-RP","_m_0gt5b",2022-03-29,146
"DE-RP","_m_0gt5b",2022-03-30,146
"DE-RP","_m_0gt5b",2022-03-31,146
"DE-RP","_m_0gt5b",2022-04-01,146
"DE-RP","_m_0gt5b",2022-04-02,146
"DE-RP","_m_0gt5b",2022-04-03,146
"DE-RP","_m_0gt5b",2022-04-04,146
"DE-RP","_m_0gt5b",2022-04-05,146
"DE-RP","_m_0gt5b",2022-04-06,146
"DE-RP","_m_0gt5b",2022-04-07,146
"DE-RP","_m_0gt5b",2022-04-08,146
"DE-RP","_m_0gt5b",2022-04-09,146
"DE-RP","_m_0gt5b",2022-04-10,146
"DE-RP","_m_0gt5b",2022-04-11,146
"DE-RP","_m_0gt5b",2022-04-12,146
"DE-RP","_m_0gt5b",2022-04-13,146
"DE-RP","_m_0gt5b",2022-04-14,146
"DE-RP","_m_0gt5b",2022-04-19,146
"DE-RP","_m_0gt5b",2022-04-20,146
"DE-RP","_m_0gt5b",2022-04-21,146
"DE-RP","_m_0gt5b",2022-04-22,146
"DE-RP","_m_0gt5b",2022-04-26,146
"DE-RP","_m_0gt5b",2022-04-27,146
"DE-RP","_m_0gt5b",2022-04-28,146
"DE-RP","_m_0gt5b",2022-04-29,146
"DE-RP","_m_0gt5b",2022-04-30,146
"DE-RP","_m_0gt5b",2022-05-01,146
"DE-RP","_m_0gt5b",2022-05-05,146
"DE-RP","_m_0gt5b",2022-05-06,146
"DE-RP","_m_0gt5b",2022-05-07,146
"DE-RP","_m_0gt5b",2022-05-08,146
"DE-RP","_m_0gt5b",2022-05-09,146
"DE-RP","_m_0gt5b",2022-05-10,146
"DE-RP","_m_0gt5b",2022-05-11,146
"DE-RP","_m_0gt5b",2022-05-12,146
"DE-RP","_m_0gt5b",2022-05-14,146
"DE-RP","_m_0gt5b",2022-05-15,146
"DE-RP","_m_0gt5b",2022-05-16,146
"DE-RP","_m_0gt5b",2022-05-17,146
"DE-RP","_m_0gt5b",2022-05-18,146
"DE-RP","_m_0gt5b",2022-05-19,146
"DE-RP","_m_0gt5b",2022-05-20,146
"DE-RP","_m_0gt5b",2022-05-21,146
"DE-RP","_m_0gt5b",2022-05-22,146
"DE-RP","_m_0gt5b",2022-05-23,146
"DE-RP","_m_0gt5b",2022-06-06,146
"DE-RP","_m_0gt5b",2022-06-07,146
"DE-RP","_m_0gt5b",2022-06-08,146
"DE-RP","_m_0gt5b",2022-06-09,146
"DE-RP","_m_0gt5b",2022-06-10,146
"DE-RP","_m_0gt5b",2022-06-11,146
"DE-RP","_m_0gt5b",2022-06-12,146
"DE-RP","_m_0gt5b",2022-06-13,146
"DE-RP","_m_0gt5b",2022-06-14,146
"DE-RP","_m_0gt5b",2022-06-15,146
"DE-RP","_m_0gt5b",2022-06-16,146
"DE-RP","_m_0gt5b",2022-06-17,146
"DE-RP","_m_0gt5b",2022-06-18,146
"DE-RP","_m_0gt5b",2022-06-19,146
"DE-RP","_m_0gt5b",2022-06-22,146
"DE-RP","_m_0gt5b",2022-06-23,146
"DE-RP","_m_0gt5b",2022-06-24,146
"DE-RP","_m_0gt5b",2022-06-25,146
"DE-RP","_m_0gt5b",2022-06-26,146
"DE-RP","_m_0gt5b",2022-06-27,146
"DE-RP","_m_0gt5b",2022-06-28,146
"DE-RP","_m_0gt5b",2022-06-29,146
"DE-RP","_m_0gt5b",2022-07-01,146
"DE-RP","_m_0gt5b",2022-07-02,146
"DE-RP","_m_0gt5b",2022-07-03,146
"DE-RP","_m_0gt5b",2022-07-04,146
"DE-RP","_m_0gt5b",2022-07-05,146
"DE-RP","_m_0gt5b",2022-07-06,146
"DE-RP","_m_0gt5b",2022-07-07,146
"DE-RP","_m_0gt5b",2022-07-08,146
"DE-RP","_m_0gt5b",2022-07-11,146
"DE-RP","_m_0gt5b",2022-07-12,146
"DE-RP","_m_0gt5b",2022-07-13,146
"DE-RP","_m_0gt5b",2022-07-16,146
"DE-RP","_m_0gt5b",2022-07-17,146
"DE-RP","_m_0gt5b",2022-07-18,146
"DE-RP","_m_0gt5b",2022-07-19,146
"DE-RP","_m_0gt5b",2022-07-20,146
"DE-RP","_m_0gt5b",2022-07-22,146
"DE-RP","_m_0gt5b",2022-07-23,146
"DE-RP","_m_0gt5b",2022-07-24,146
"DE-RP","_m_0gt5b",2022-07-25,146
"DE-RP","_m_0gt5b",2022-07-26,146
"DE-RP","_m_0gt5b",2022-07-27,146
"DE-RP","_m_0gt5b",2022-07-28,146
"DE-RP","_m_0gt5b",2022-07-29,146
"DE-RP","_m_0gt5b",2022-07-30,146
"DE-RP","_m_0gt5b",2022-07-31,146
"DE-RP","_m_0gt5b",2022-08-01,146
"DE-RP","_m_0gt5b",2022-08-02,146
"DE-RP","_m_0gt5b",2022-08-03,146
"DE-RP","_m_0gt5b",2022-08-04,146
"DE-RP","meth",2021-03-26,146
"DE-RP","meth",2021-03-27,146
"DE-RP","meth",2021-03-28,146
"DE-RP","meth",2021-03-29,146
"DE-RP","meth",2021-03-30,146
"DE-RP","meth",2021-03-31,146
"DE-RP","meth",2021-05-26,146
"DE-RP","meth",2021-05-27,146
"DE-RP","meth",2021-05-29,146
"DE-RP","meth",2021-05-31,146
"DE-RP","meth",2021-06-01,146
"DE-RP","meth",2021-06-02,146
"DE-RP","meth",2021-06-03,146
"DE-RP","meth",2021-06-04,146
"DE-RP","meth",2021-06-05,146
"DE-RP","meth",2021-06-06,146
"DE-RP","meth",2021-06-07,146
"DE-RP","meth",2021-06-08,146
"DE-RP","meth",2021-06-09,146
"DE-RP","meth",2021-06-10,146
"DE-RP","meth",2021-06-11,146
"DE-RP","meth",2021-06-16,146
"DE-RP","meth",2021-06-17,146
"DE-RP","meth",2021-06-19,146
"DE-RP","meth",2021-06-20,146
"DE-RP","meth",2021-06-21,146
"DE-RP","meth",2022-03-14,146
"DE-RP","meth",2022-03-15,146
"DE-RP","meth",2022-03-16,146
"DE-RP","meth",2022-03-17,146
"DE-RP","meth",2022-03-18,146
"DE-RP","meth",2022-03-19,146
"DE-RP","meth",2022-03-20,146
"DE-RP","meth",2022-03-21,146
"DE-RP","meth",2022-03-22,146
"DE-RP","meth",2022-03-23,146
"DE-RP","meth",2022-03-24,146
"DE-RP","meth",2022-03-25,146
"DE-RP","meth",2022-03-26,146
"DE-RP","meth",2022-03-28,146
"DE-RP","meth",2022-03-29,146
"DE-RP","meth",2022-03-30,146
"DE-RP","meth",2022-03-31,146
"DE-RP","meth",2022-04-01,146
"DE-RP","meth",2022-04-02,146
"DE-RP","meth",2022-04-03,146
"DE-RP","meth",2022-04-04,146
"DE-RP","meth",2022-04-05,146
"DE-RP","meth",2022-04-06,146
"DE-RP","meth",2022-04-07,146
"DE-RP","meth",2022-04-08,146
"DE-RP","meth",2022-04-09,146
"DE-RP","meth",2022-04-10,146
"DE-RP","meth",2022-04-11,146
"DE-RP","meth",2022-04-12,146
"DE-RP","meth",2022-04-13,146
"DE-RP","meth",2022-04-14,146
"DE-RP","meth",2022-04-19,146
"DE-RP","meth",2022-04-20,146
"DE-RP","meth",2022-04-21,146
"DE-RP","meth",2022-04-22,146
"DE-RP","meth",2022-04-26,146
"DE-RP","meth",2022-04-27,146
"DE-RP","meth",2022-04-28,146
"DE-RP","meth",2022-04-29,146
"DE-RP","meth",2022-04-30,146
"DE-RP","meth",2022-05-01,146
"DE-RP","meth",2022-05-05,146
"DE-RP","meth",2022-05-06,146
"DE-RP","meth",2022-05-07,146
"DE-RP","meth",2022-05-08,146
"DE-RP","meth",2022-05-09,146
"DE-RP","meth",2022-05-10,146
"DE-RP","meth",2022-05-11,146
"DE-RP","meth",2022-05-12,146
"DE-RP","meth",2022-05-14,146
"DE-RP","meth",2022-05-15,146
"DE-RP","meth",2022-05-16,146
"DE-RP","meth",2022-05-17,146
"DE-RP","meth",2022-05-18,146
"DE-RP","meth",2022-05-19,146
"DE-RP","meth",2022-05-20,146
"DE-RP","meth",2022-05-21,146
"DE-RP","meth",2022-05-22,146
"DE-RP","meth",2022-05-23,146
"DE-RP","meth",2022-05-24,146
"DE-RP","meth",2022-06-06,146
"DE-RP","meth",2022-06-07,146
"DE-RP","meth",2022-06-08,146
"DE-RP","meth",2022-06-09,146
"DE-RP","meth",2022-06-10,146
"DE-RP","meth",2022-06-11,146
"DE-RP","meth",2022-06-12,146
"DE-RP","meth",2022-06-13,146
"DE-RP","meth",2022-06-14,146
"DE-RP","meth",2022-06-15,146
"DE-RP","meth",2022-06-16,146
"DE-RP","meth",2022-06-17,146
"DE-RP","meth",2022-06-18,146
"DE-RP","meth",2022-06-19,146
"DE-RP","meth",2022-06-22,146
"DE-RP","meth",2022-06-23,146
"DE-RP","meth",2022-06-24,146
"DE-RP","meth",2022-06-25,146
"DE-RP","meth",2022-06-26,146
"DE-RP","meth",2022-06-27,146
"DE-RP","meth",2022-06-28,146
"DE-RP","meth",2022-06-29,146
"DE-RP","meth",2022-07-01,146
"DE-RP","meth",2022-07-02,146
"DE-RP","meth",2022-07-03,146
"DE-RP","meth",2022-07-04,146
"DE-RP","meth",2022-07-05,146
"DE-RP","meth",2022-07-06,146
"DE-RP","meth",2022-07-07,146
"DE-RP","meth",2022-07-08,146
"DE-RP","meth",2022-07-11,146
"DE-RP","meth",2022-07-12,146
"DE-RP","meth",2022-07-13,146
"DE-RP","meth",2022-07-16,146
"DE-RP","meth",2022-07-17,146
"DE-RP","meth",2022-07-18,146
"DE-RP","meth",2022-07-19,146
"DE-RP","meth",2022-07-20,146
"DE-RP","meth",2022-07-22,146
"DE-RP","meth",2022-07-23,146
"DE-RP","meth",2022-07-24,146
"DE-RP","meth",2022-07-25,146
"DE-RP","meth",2022-07-26,146
"DE-RP","meth",2022-07-27,146
"DE-SH","_m_0gt5b",2021-05-26,146
"DE-SH","_m_0gt5b",2021-05-27,146
"DE-SH","_m_0gt5b",2021-05-29,146
"DE-SH","_m_0gt5b",2021-05-31,146
"DE-SH","_m_0gt5b",2021-06-01,146
"DE-SH","_m_0gt5b",2021-06-02,146
"DE-SH","_m_0gt5b",2021-06-03,146
"DE-SH","_m_0gt5b",2021-06-04,146
"DE-SH","_m_0gt5b",2021-06-05,146
"DE-SH","_m_0gt5b",2021-06-06,146
"DE-SH","_m_0gt5b",2021-06-07,146
"DE-SH","_m_0gt5b",2021-06-08,146
"DE-SH","_m_0gt5b",2021-06-09,146
"DE-SH","_m_0gt5b",2021-06-10,146
"DE-SH","_m_0gt5b",2021-06-11,146
"DE-SH","_m_0gt5b",2021-06-16,146
"DE-SH","_m_0gt5b",2021-06-17,146
"DE-SH","_m_0gt5b",2021-06-19,146
"DE-SH","_m_0gt5b",2021-06-20,146
"DE-SH","_m_0gt5b",2021-06-21,146
"DE-SH","_m_0gt5b",2022-03-14,146
"DE-SH","_m_0gt5b",2022-03-15,146
"DE-SH","_m_0gt5b",2022-03-16,146
"DE-SH","_m_0gt5b",2022-03-17,146
"DE-SH","_m_0gt5b",2022-03-18,146
"DE-SH","_m_0gt5b",2022-03-19,146
"DE-SH","_m_0gt5b",2022-03-20,146
"DE-SH","_m_0gt5b",2022-03-22,146
"DE-SH","_m_0gt5b",2022-03-23,146
"DE-SH","_m_0gt5b",2022-03-24,146
"DE-SH","_m_0gt5b",2022-03-25,146
"DE-SH","_m_0gt5b",2022-03-26,146
"DE-SH","_m_0gt5b",2022-03-28,146
"DE-SH","_m_0gt5b",2022-03-29,146
"DE-SH","_m_0gt5b",2022-03-30,146
"DE-SH","_m_0gt5b",2022-03-31,146
"DE-SH","_m_0gt5b",2022-04-01,146
"DE-SH","_m_0gt5b",2022-04-02,146
"DE-SH","_m_0gt5b",2022-04-03,146
"DE-SH","_m_0gt5b",2022-04-04,146
"DE-SH","_m_0gt5b",2022-04-05,146
"DE-SH","_m_0gt5b",2022-04-06,146
"DE-SH","_m_0gt5b",2022-04-07,146
"DE-SH","_m_0gt5b",2022-04-08,146
"DE-SH","_m_0gt5b",2022-04-09,146
"DE-SH","_m_0gt5b",2022-04-10,146
"DE-SH","_m_0gt5b",2022-04-11,146
"DE-SH","_m_0gt5b",2022-04-12,146
"DE-SH","_m_0gt5b",2022-04-13,146
"DE-SH","_m_0gt5b",2022-04-14,146
"DE-SH","_m_0gt5b",2022-04-19,146
"DE-SH","_m_0gt5b",2022-04-20,146
"DE-SH","_m_0gt5b",2022-04-21,146
"DE-SH","_m_0gt5b",2022-04-22,146
"DE-SH","_m_0gt5b",2022-04-26,146
"DE-SH","_m_0gt5b",2022-04-27,146
"DE-SH","_m_0gt5b",2022-04-28,146
"DE-SH","_m_0gt5b",2022-04-29,146
"DE-SH","_m_0gt5b",2022-04-30,146
"DE-SH","_m_0gt5b",2022-05-01,146
"DE-SH","_m_0gt5b",2022-05-05,146
"DE-SH","_m_0gt5b",2022-05-06,146
"DE-SH","_m_0gt5b",2022-05-07,146
"DE-SH","_m_0gt5b",2022-05-08,146
"DE-SH","_m_0gt5b",2022-05-09,146
"DE-SH","_m_0gt5b",2022-05-10,146
"DE-SH","_m_0gt5b",2022-05-11,146
"DE-SH","_m_0gt5b",2022-05-12,146
"DE-SH","_m_0gt5b",2022-05-14,146
"DE-SH","_m_0gt5b",2022-05-15,146
"DE-SH","_m_0gt5b",2022-05-16,146
"DE-SH","_m_0gt5b",2022-05-17,146
"DE-SH","_m_0gt5b",2022-05-18,146
"DE-SH","_m_0gt5b",2022-05-19,146
"DE-SH","_m_0gt5b",2022-05-20,146
"DE-SH","_m_0gt5b",2022-05-21,146
"DE-SH","_m_0gt5b",2022-05-22,146
"DE-SH","_m_0gt5b",2022-05-23,146
"DE-SH","_m_0gt5b",2022-06-06,146
"DE-SH","_m_0gt5b",2022-06-07,146
"DE-SH","_m_0gt5b",2022-06-08,146
"DE-SH","_m_0gt5b",2022-06-09,146
"DE-SH","_m_0gt5b",2022-06-10,146
"DE-SH","_m_0gt5b",2022-06-11,146
"DE-SH","_m_0gt5b",2022-06-12,146
"DE-SH","_m_0gt5b",2022-06-13,146
"DE-SH","_m_0gt5b",2022-06-14,146
"DE-SH","_m_0gt5b",2022-06-15,146
"DE-SH","_m_0gt5b",2022-06-16,146
"DE-SH","_m_0gt5b",2022-06-17,146
"DE-SH","_m_0gt5b",2022-06-18,146
"DE-SH","_m_0gt5b",2022-06-19,146
"DE-SH","_m_0gt5b",2022-06-22,146
"DE-SH","_m_0gt5b",2022-06-23,146
"DE-SH","_m_0gt5b",2022-06-24,146
"DE-SH","_m_0gt5b",2022-06-25,146
"DE-SH","_m_0gt5b",2022-06-26,146
"DE-SH","_m_0gt5b",2022-06-27,146
"DE-SH","_m_0gt5b",2022-06-28,146
"DE-SH","_m_0gt5b",2022-06-29,146
"DE-SH","_m_0gt5b",2022-07-01,146
"DE-SH","_m_0gt5b",2022-07-02,146
"DE-SH","_m_0gt5b",2022-07-03,146
"DE-SH","_m_0gt5b",2022-07-04,146
"DE-SH","_m_0gt5b",2022-07-05,146
"DE-SH","_m_0gt5b",2022-07-06,146
"DE-SH","_m_0gt5b",2022-07-07,146
"DE-SH","_m_0gt5b",2022-07-08,146
"DE-SH","_m_0gt5b",2022-07-11,146
"DE-SH","_m_0gt5b",2022-07-12,146
"DE-SH","_m_0gt5b",2022-07-13,146
"DE-SH","_m_0gt5b",2022-07-16,146
"DE-SH","_m_0gt5b",2022-07-17,146
"DE-SH","_m_0gt5b",2022-07-18,146
"DE-SH","_m_0gt5b",2022-07-19,146
"DE-SH","_m_0gt5b",2022-07-20,146
"DE-SH","_m_0gt5b",2022-07-22,146
"DE-SH","_m_0gt5b",2022-07-23,146
"DE-SH","_m_0gt5b",2022-07-24,146
"DE-SH","_m_0gt5b",2022-07-25,146
"DE-SH","_m_0gt5b",2022-07-26,146
"DE-SH","_m_0gt5b",2022-07-27,146
"DE-SH","_m_0gt5b",2022-07-28,146
"DE-SH","_m_0gt5b",2022-07-29,146
"DE-SH","_m_0gt5b",2022-07-30,146
"DE-SH","_m_0gt5b",2022-07-31,146
"DE-SH","_m_0gt5b",2022-08-01,146
"DE-SH","_m_0gt5b",2022-08-02,146
"DE-SH","_m_0gt5b",2022-08-03,146
"DE-SH","_m_0gt5b",2022-08-04,146
"DE-SH","meth",2021-03-26,146
"DE-SH","meth",2021-03-27,146
"DE-SH","meth",2021-03-28,146
"DE-SH","meth",2021-03-29,146
"DE-SH","meth",2021-03-30,146
"DE-SH","meth",2021-03-31,146
"DE-SH","meth",2021-05-26,146
"DE-SH","meth",2021-05-27,146
"DE-SH","meth",2021-05-29,146
"DE-SH","meth",2021-05-31,146
"DE-SH","meth",2021-06-01,146
"DE-SH","meth",2021-06-02,146
"DE-SH","meth",2021-06-03,146
"DE-SH","meth",2021-06-04,146
"DE-SH","meth",2021-06-05,146
"DE-SH","meth",2021-06-06,146
"DE-SH","meth",2021-06-07,146
"DE-SH","meth",2021-06-08,146
"DE-SH","meth",2021-06-09,146
"DE-SH","meth",2021-06-10,146
"DE-SH","meth",2021-06-11,146
"DE-SH","meth",2021-06-16,146
"DE-SH","meth",2021-06-17,146
